,importance,var
216,0.068730675,n_/devices/modules/Cisco-IOS-XE-interfaces-oper/interfaces/interface/v4-protocol-stats/in-octets
965,0.05801407,v_/ports#link-tr-ssm-b-1-y/metrics/network-outgoing-bytes
19,0.052020755,p_/computes0/metrics/compute-node/compute-node-cpu-idle-percent
222,0.051957346,n_/devices/modules/Cisco-IOS-XE-interfaces-oper/interfaces/interface/v4-protocol-stats/out-octets
210,0.048507866,n_/devices/modules/Cisco-IOS-XE-interfaces-oper/interfaces/interface/statistics/tx-pps
331,0.028001685,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/neighbors/neighbor/prefix-activity/sent/implicit-withdraw
221,0.02285737,n_/devices/modules/Cisco-IOS-XE-interfaces-oper/interfaces/interface/v4-protocol-stats/out-pkts
845,0.0184097,v_/ports#link-tr-intgw-a-3-x/metrics/network-outgoing-bytes
893,0.017922154,v_/ports#link-tr-intgw-b-2-x/metrics/network-outgoing-bytes
883,0.017029772,v_/ports#link-tr-intgw-b-1-y/metrics/network-outgoing-packets
737,0.014888925,v_/ports#link-intgw-exgw-b-1-x/metrics/network-outgoing-bytes
250,0.013728131,n_/devices/modules/Cisco-IOS-XE-interfaces-oper/interfaces/interface/diffserv-info/diffserv-target-classifier-stats/classifier-entry-stats/classified-pkts
679,0.0101564955,v_/ports#TR-01/metrics/network-outgoing-packets
846,0.0098770205,v_/ports#link-tr-intgw-a-3-x/metrics/network-outgoing-bytes-rate
971,0.009545842,v_/ports#link-tr-tr-a-1-x/metrics/network-incoming-bytes
152,0.008718,n_/devices/modules/openconfig-interfaces/interfaces/interface/state/counters/out-octets
853,0.0084212255,v_/ports#link-tr-intgw-a-3-y/metrics/network-incoming-packets
253,0.008221634,n_/devices/modules/Cisco-IOS-XE-interfaces-oper/interfaces/interface/diffserv-info/diffserv-target-classifier-stats/queuing-stats/output-pkts
691,0.0075361617,v_/ports#TR-02/metrics/network-outgoing-packets
715,0.007467997,v_/ports#link-intgw-exgw-a-2-x/metrics/network-outgoing-packets
882,0.0073099374,v_/ports#link-tr-intgw-b-1-y/metrics/network-outgoing-bytes-rate
913,0.0072953426,v_/ports#link-tr-intgw-b-3-x/metrics/network-incoming-packets
42,0.007161791,p_/computes0/metrics/hardware/hardware-system_stats-cpu-idle
598,0.007130407,v_/devices#TR-02/metrics/cpu-delta
958,0.006699594,v_/ports#link-tr-ssm-a-1-y/metrics/network-outgoing-packets-rate
31,0.00656403,p_/computes0/metrics/hardware/hardware-cpu-util
954,0.0065535964,v_/ports#link-tr-ssm-a-1-y/metrics/network-outgoing-bytes-rate
917,0.006401867,v_/ports#link-tr-intgw-b-3-x/metrics/network-outgoing-bytes
